Date,Symbol,Company Name,Split Ratio
06/10/2025,CLRO,Clearone Inc,1 : 15
06/10/2025,BBLG,Bone Biologics Corp,1 : 6
06/10/2025,INUV,Inuvo Inc,1 : 10
06/09/2025,NKTR,Nektar Therapeutics,1 : 15
06/09/2025,DUO,Fangdd Network Group Ltd.,1 : 16
06/09/2025,BOLT,Bolt Biotherapeutics Inc,1 : 20
06/09/2025,PXLW,Pixelworks Inc,1 : 12
06/09/2025,HUSA,Houston American Energy Corp,1 : 10
06/06/2025,INAB,In8bio Inc,1 : 30
06/03/2025,AGMH,Agm Group Holdings Inc,1 : 50
06/03/2025,OGEN,Oragenics Inc,1 : 30
06/02/2025,ARBB,Arb Iot Group Ltd.,1 : 15
06/02/2025,EKSO,Ekso Bionics Holdings Inc,1 : 15
06/02/2025,BNBX,Applied Dna Sciences Inc,1 : 15
06/02/2025,LYEL,Lyell Immunopharma Inc,1 : 20
05/30/2025,EJH,E-home Household Service Holdings Ltd.,1 : 50
05/29/2025,TAOP,Taoping Inc,1 : 30
05/28/2025,ASPS,Altisource Portfolio Solutions SA,1 : 8
05/28/2025,LYRA,Lyra Therapeutics Inc,1 : 50
05/27/2025,PLRZ,Polyrizon Ltd.,1 : 250
05/27/2025,FRGT,Freight Technologies Inc,1 : 4
05/27/2025,APVO,Aptevo Therapeutics Inc,1 : 20
05/23/2025,QVCGA,Qvc Group Inc,1 : 50
05/23/2025,DGLY,Digital Ally Inc,1 : 100
05/21/2025,AIFU,Aifu Inc,1 : 20
05/20/2025,CVM,Cel Sci Corp,1 : 30
05/20/2025,UOKA,Mdjm Ltd.,1 : 25
05/19/2025,CNEY,Cn Energy Group Inc,1 : 25
05/19/2025,BON,Bon Natural Life Ltd.,1 : 25
05/15/2025,RNAZ,Transcode Therapeutics Inc,1 : 28
05/14/2025,MLEC,Moolec Science SA,1 : 10
05/14/2025,XAGE,Longevity Health Holdings Inc,1 : 30
05/13/2025,CDIO,Cardio Diagnostics Holdings Inc,1 : 30
05/12/2025,ALZN,Alzamend Neuro Inc,1 : 9
05/12/2025,STI,Solidion Technology Inc,1 : 50
05/09/2025,XHG,Xchange Tecinc,1 : 20
05/07/2025,YCBD,Cbdmd Inc,1 : 8
05/06/2025,SBET,Sharplink Gaming Ltd.,1 : 12
05/05/2025,SLGL,Sol-gel Technologies Ltd.,1 : 10
05/05/2025,PTIX,Protagenic Therapeutics Inc,1 : 14
05/05/2025,PBM,Psyence Biomedical Ltd.,1 : 7.97
05/02/2025,LITM,Snow Lake Resources Ltd.,1 : 13
05/02/2025,CWD,Calibercos Inc,1 : 20
05/01/2025,PTPI,Petros Pharmaceuticals Inc,1 : 25
04/29/2025,JBIO,Jade Biosciences Inc,1 : 35
04/28/2025,STSS,Sharps Technology Inc,1 : 300.3
04/28/2025,XFOR,X4 Pharmaceuticals Inc,1 : 30
04/28/2025,DEA,Easterly Government Properties Inc,1 : 2.5
04/23/2025,DFSC,Defsec Technologies Inc,1 : 21
04/22/2025,FMTOF,Femto Technologies Inc,1 : 500
04/22/2025,MCRB,Seres Therapeutics Inc,1 : 20
04/22/2025,BSLK,Bolt Projects Holdings Inc,1 : 20
04/21/2025,HOLO,Microcloud Hologram Inc,1 : 40
04/21/2025,SUNE,Sunation Energy Inc,1 : 200
04/21/2025,DDC,Ddc Enterprise Ltd.,1 : 25
04/21/2025,BMRA,Biomerica Inc,1 : 8
04/21/2025,YHC,Lqr House Inc,1 : 35
04/17/2025,KZIA,Kazia Therapeutics Ltd.,1 : 5
04/16/2025,TVRD,Tvardi Therapeutics Inc,1 : 3
04/15/2025,FRGE,Forge Global Holdings Inc,1 : 15
04/15/2025,STBXF,Starbox Group Holdings Ltd.,1 : 14
04/15/2025,CPHI,China Pharma Holdings Inc,1 : 10
04/15/2025,SCLX,Scilex Holding Co.,1 : 35
04/14/2025,WIMI,Wimi Hologram Cloud Inc,1 : 20
04/14/2025,PIII,P3 Health Partners Inc,1 : 50
04/14/2025,MAAS,Maase Inc,1 : 59.99
04/11/2025,AMRN,Amarin Corp PLC,1 : 20
04/11/2025,HCWB,Hcw Biologics Inc,1 : 40
04/10/2025,WBUY,Webuy Global Ltd.,1 : 120.05
04/09/2025,TPST,Tempest Therapeutics Inc,1 : 13
04/09/2025,QNRX,Quoin Pharmaceuticals Ltd.,1 : 20
04/08/2025,VEEE,Twin Vee Powercats Co.,1 : 10
04/07/2025,SPPL,Simpple Ltd.,1 : 8
04/07/2025,NEGG,Newegg Commerce Inc,1 : 20
04/07/2025,LGCB,Linkage Global Inc,1 : 10
04/07/2025,BGLC,Bionexus Gene Lab Corp,1 : 10
04/07/2025,TGL,Treasure Global Inc,1 : 50
04/04/2025,CISS,C3is Inc,1 : 6
04/04/2025,AEHL,Antelope Enterprise Holdings Ltd.,1 : 40
04/04/2025,SOBR,Sobr Safe Inc,1 : 10
04/04/2025,FTFT,Future Fintech Group Inc,1 : 10
04/03/2025,MKTW,Marketwise Inc,1 : 20
04/01/2025,WNW,Meiwu Technology Co Ltd.,1 : 20
04/01/2025,ICON,Icon Energy Corp,1 : 40
03/31/2025,HUBC,Hub Cyber Security Ltd.,1 : 10
03/31/2025,AUUD,Auddia Inc,1 : 17
03/31/2025,NXUR,Nxu Inc,1 : 20
03/31/2025,VMAR,Vision Marine Technologies Inc,1 : 10
03/28/2025,SBEV,Splash Beverage Group Inc,1 : 40
03/28/2025,ACON,Aclarion Inc,1 : 27
03/26/2025,GRFXY,Graphex Group Ltd.,1 : 5
03/25/2025,XELB,Xcel Brands Inc,1 : 10
03/24/2025,ANGI,Angi Inc,1 : 10
03/24/2025,ZCAR,Zoomcar Holdings Inc,1 : 20
03/24/2025,SHFS,Shf Holdings Inc,1 : 20
03/24/2025,JAGX,Jaguar Health Inc,1 : 25
03/24/2025,UPC,Universe Pharmaceuticals Inc,1 : 40
03/21/2025,VRPX,Virpax Pharmaceuticals Inc,1 : 25
03/21/2025,VIVS,Vivosim Labs Inc,1 : 12
03/20/2025,OM,Outset Medical Inc,1 : 15
03/18/2025,HEPA,Hepion Pharmaceuticals Inc,1 : 50
03/18/2025,ULY,Urgently Inc,1 : 12
03/18/2025,WKSP,Worksport Ltd.,1 : 10
03/17/2025,FAMI,Farmmi Inc,1 : 12
03/17/2025,NWTG,Newton Golf Company Inc,1 : 30
03/17/2025,WKHS,Workhorse Group Inc,1 : 12.5
